"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1595458922","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458924","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458926","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458928","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458930","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458932","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458934","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458936","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458938","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458940","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458942","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458944","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458946","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458948","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458950","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458952","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458954","3","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1595458956","10","GET","/function/performance-scores-gdpr",0.00,0.00,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,3,0,1800,1769,1351,2148,220
"1595458956","10","","Aggregated",0.00,0.00,1800,1800,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,3,0,1800,1769,1351,2148,220
"1595458958","10","GET","/function/performance-scores-gdpr",0.50,0.00,2600,2600,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,0,2100,2180,1351,2978,220
"1595458958","10","","Aggregated",0.50,0.00,2100,2600,2600,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,0,2100,2180,1351,2978,220
"1595458960","10","GET","/function/performance-scores-gdpr",1.00,0.00,2700,3000,3300,3300,3400,3700,3700,3700,3700,3700,3700,3700,13,0,2600,2382,836,3748,221
"1595458960","10","","Aggregated",1.00,0.00,2600,3000,3300,3300,3400,3700,3700,3700,3700,3700,3700,3700,13,0,2600,2382,836,3748,221
"1595458962","10","GET","/function/performance-scores-gdpr",1.00,0.00,2600,3000,3300,3300,3400,3700,3700,3700,3700,3700,3700,3700,15,0,2100,2182,836,3748,220
"1595458962","10","","Aggregated",1.00,0.00,2100,2700,3300,3300,3400,3700,3700,3700,3700,3700,3700,3700,15,0,2100,2182,836,3748,220
"1595458964","10","GET","/function/performance-scores-gdpr",1.88,0.00,1900,2600,3000,3300,3400,3700,3700,3700,3700,3700,3700,3700,19,0,1900,2058,836,3748,221
"1595458964","10","","Aggregated",1.88,0.00,1900,2600,3000,3300,3400,3700,3700,3700,3700,3700,3700,3700,19,0,1900,2058,836,3748,221
"1595458966","10","GET","/function/performance-scores-gdpr",1.90,0.00,2200,2900,3300,3300,3400,3700,3700,3700,3700,3700,3700,3700,23,0,2100,2184,836,3748,221
"1595458966","10","","Aggregated",1.90,0.00,2200,2900,3300,3300,3400,3700,3700,3700,3700,3700,3700,3700,23,0,2100,2184,836,3748,221
"1595458968","10","GET","/function/performance-scores-gdpr",2.00,0.00,1900,2200,2600,2800,3300,3400,3400,3400,3400,3400,3400,3400,28,0,2100,2149,813,3748,221
"1595458968","10","","Aggregated",2.00,0.00,1900,2200,2600,2800,3300,3400,3400,3400,3400,3400,3400,3400,28,0,2100,2149,813,3748,221
"1595458970","10","GET","/function/performance-scores-gdpr",2.20,0.00,1900,2100,2400,2600,2900,3400,3400,3400,3400,3400,3400,3400,31,0,1900,2055,813,3748,221
"1595458970","10","","Aggregated",2.20,0.00,1900,2100,2400,2600,2900,3400,3400,3400,3400,3400,3400,3400,31,0,1900,2055,813,3748,221
"1595458972","10","GET","/function/performance-scores-gdpr",2.00,0.00,2000,2200,2400,2600,2900,3400,3400,3400,3400,3400,3400,3400,34,0,1900,2053,813,3748,221
"1595458972","10","","Aggregated",2.00,0.00,2000,2200,2400,2600,2900,3400,3400,3400,3400,3400,3400,3400,34,0,1900,2053,813,3748,221
"1595458974","10","GET","/function/performance-scores-gdpr",1.70,0.00,2100,2600,2600,2800,2900,3400,3400,3400,3400,3400,3400,3400,39,0,2100,2103,813,3748,221
"1595458974","10","","Aggregated",1.70,0.00,2100,2600,2600,2800,2900,3400,3400,3400,3400,3400,3400,3400,39,0,2100,2103,813,3748,221
"1595458976","10","GET","/function/performance-scores-gdpr",2.00,0.00,1900,2000,2100,2200,2600,2800,2800,2800,2800,2800,2800,2800,44,0,1900,2014,813,3748,221
"1595458976","10","","Aggregated",2.00,0.00,1900,2000,2100,2200,2600,2800,2800,2800,2800,2800,2800,2800,44,0,1900,2014,813,3748,221
"1595458978","10","GET","/function/performance-scores-gdpr",2.20,0.00,1600,2000,2100,2200,2600,2800,2800,2800,2800,2800,2800,2800,47,0,1900,1967,813,3748,221
"1595458978","10","","Aggregated",2.20,0.00,1600,2000,2100,2200,2600,2800,2800,2800,2800,2800,2800,2800,47,0,1900,1967,813,3748,221
"1595458980","10","GET","/function/performance-scores-gdpr",2.00,0.00,1600,2000,2200,2300,2600,2600,2800,2800,2800,2800,2800,2800,53,0,1900,1952,813,3748,221
"1595458980","10","","Aggregated",2.00,0.00,1600,2000,2200,2300,2600,2600,2800,2800,2800,2800,2800,2800,53,0,1900,1952,813,3748,221
"1595458982","10","GET","/function/performance-scores-gdpr",2.20,0.00,1500,1600,1700,2200,2600,2600,2800,2800,2800,2800,2800,2800,57,0,1800,1878,761,3748,221
"1595458982","10","","Aggregated",2.20,0.00,1500,1600,1700,2200,2600,2600,2800,2800,2800,2800,2800,2800,57,0,1800,1878,761,3748,221
"1595458984","10","GET","/function/performance-scores-gdpr",2.20,0.00,1300,1400,1500,1600,2300,2600,2600,2600,2600,2600,2600,2600,59,0,1700,1852,761,3748,221
"1595458984","10","","Aggregated",2.20,0.00,1300,1400,1500,1600,2300,2600,2600,2600,2600,2600,2600,2600,59,0,1700,1852,761,3748,221
"1595458986","10","GET","/function/performance-scores-gdpr",2.20,0.00,1500,2000,2000,2000,2400,2600,2600,2600,2600,2600,2600,2600,64,0,1900,1869,761,3748,221
"1595458986","10","","Aggregated",2.20,0.00,1500,2000,2000,2000,2400,2600,2600,2600,2600,2600,2600,2600,64,0,1900,1869,761,3748,221
"1595458988","10","GET","/function/performance-scores-gdpr",2.00,0.00,1700,2000,2000,2000,2400,2600,2600,2600,2600,2600,2600,2600,68,0,1800,1858,761,3748,221
"1595458988","10","","Aggregated",2.00,0.00,1700,2000,2000,2000,2400,2600,2600,2600,2600,2600,2600,2600,68,0,1800,1858,761,3748,221
"1595458990","10","GET","/function/performance-scores-gdpr",2.10,0.00,1700,2000,2000,2200,2400,2500,2500,2500,2500,2500,2500,2500,74,0,1800,1871,761,3748,221
"1595458990","10","","Aggregated",2.10,0.00,1700,2000,2000,2200,2400,2500,2500,2500,2500,2500,2500,2500,74,0,1800,1871,761,3748,221
"1595458992","10","GET","/function/performance-scores-gdpr",1.90,0.00,1700,2000,2000,2200,2400,2500,2500,2500,2500,2500,2500,2500,78,0,1700,1853,761,3748,221
"1595458992","10","","Aggregated",1.90,0.00,1700,2000,2000,2200,2400,2500,2500,2500,2500,2500,2500,2500,78,0,1700,1853,761,3748,221
"1595458994","10","GET","/function/performance-scores-gdpr",2.10,0.00,1600,1700,1800,2000,2200,2400,2500,2500,2500,2500,2500,2500,83,0,1700,1802,721,3748,221
"1595458994","10","","Aggregated",2.10,0.00,1600,1700,1800,2000,2200,2400,2500,2500,2500,2500,2500,2500,83,0,1700,1802,721,3748,221
"1595458996","10","GET","/function/performance-scores-gdpr",2.20,0.00,1500,1600,1700,1700,2400,2500,2500,2500,2500,2500,2500,2500,84,0,1700,1794,721,3748,221
"1595458996","10","","Aggregated",2.20,0.00,1500,1600,1700,1700,2400,2500,2500,2500,2500,2500,2500,2500,84,0,1700,1794,721,3748,221
"1595458998","10","GET","/function/performance-scores-gdpr",2.10,0.00,1600,2000,2400,2400,2500,2600,2600,2600,2600,2600,2600,2600,88,0,1700,1821,721,3748,221
"1595458998","10","","Aggregated",2.10,0.00,1600,2000,2400,2400,2500,2600,2600,2600,2600,2600,2600,2600,88,0,1700,1821,721,3748,221
"1595459000","10","GET","/function/performance-scores-gdpr",2.00,0.00,1600,2400,2500,2600,3300,3300,3300,3300,3300,3300,3300,3300,95,0,1700,1867,721,3748,221
"1595459000","10","","Aggregated",2.00,0.00,1600,2400,2500,2600,3300,3300,3300,3300,3300,3300,3300,3300,95,0,1700,1867,721,3748,221
"1595459002","10","GET","/function/performance-scores-gdpr",2.10,0.00,1600,2400,2500,2600,3300,3300,3300,3300,3300,3300,3300,3300,99,0,1700,1842,721,3748,221
"1595459002","10","","Aggregated",2.10,0.00,1600,2400,2500,2600,3300,3300,3300,3300,3300,3300,3300,3300,99,0,1700,1842,721,3748,221
"1595459004","10","GET","/function/performance-scores-gdpr",2.20,0.00,2000,2400,2500,2600,3300,3300,3300,3300,3300,3300,3300,3300,101,0,1700,1839,721,3748,221
"1595459004","10","","Aggregated",2.20,0.00,2000,2400,2500,2600,3300,3300,3300,3300,3300,3300,3300,3300,101,0,1700,1839,721,3748,221
"1595459006","10","GET","/function/performance-scores-gdpr",1.80,0.00,2400,2500,2900,3100,3300,3400,3400,3400,3400,3400,3400,3400,105,0,1700,1872,721,3748,222
"1595459006","10","","Aggregated",1.80,0.00,2400,2500,2900,3100,3300,3400,3400,3400,3400,3400,3400,3400,105,0,1700,1872,721,3748,222
"1595459008","10","GET","/function/performance-scores-gdpr",1.90,0.00,2100,2500,2800,3100,3300,3400,3400,3400,3400,3400,3400,3400,110,0,1800,1888,721,3748,222
"1595459008","10","","Aggregated",1.90,0.00,2100,2500,2800,3100,3300,3400,3400,3400,3400,3400,3400,3400,110,0,1800,1888,721,3748,222
"1595459010","10","GET","/function/performance-scores-gdpr",2.10,0.00,1600,2200,2500,2500,3100,3400,3400,3400,3400,3400,3400,3400,116,0,1700,1864,721,3748,222
"1595459010","10","","Aggregated",2.10,0.00,1600,2200,2500,2500,3100,3400,3400,3400,3400,3400,3400,3400,116,0,1700,1864,721,3748,222
"1595459012","10","GET","/function/performance-scores-gdpr",2.00,0.00,1600,1800,2300,2500,2800,3100,3400,3400,3400,3400,3400,3400,120,0,1700,1836,721,3748,222
"1595459012","10","","Aggregated",2.00,0.00,1600,1800,2300,2500,2800,3100,3400,3400,3400,3400,3400,3400,120,0,1700,1836,721,3748,222
"1595459014","10","GET","/function/performance-scores-gdpr",2.00,0.00,1500,1600,2300,2500,2800,3100,3400,3400,3400,3400,3400,3400,123,0,1700,1822,721,3748,222
"1595459014","10","","Aggregated",2.00,0.00,1500,1600,2300,2500,2800,3100,3400,3400,3400,3400,3400,3400,123,0,1700,1822,721,3748,222
"1595459016","10","GET","/function/performance-scores-gdpr",2.20,0.00,1600,1900,2200,2300,2400,2500,2800,2800,2800,2800,2800,2800,128,0,1700,1833,721,3748,222
"1595459016","10","","Aggregated",2.20,0.00,1600,1900,2200,2300,2400,2500,2800,2800,2800,2800,2800,2800,128,0,1700,1833,721,3748,222
"1595459018","10","GET","/function/performance-scores-gdpr",2.30,0.00,1600,1700,1900,1900,2300,2300,2400,2400,2400,2400,2400,2400,133,0,1700,1829,721,3748,222
"1595459018","10","","Aggregated",2.30,0.00,1600,1700,1900,1900,2300,2300,2400,2400,2400,2400,2400,2400,133,0,1700,1829,721,3748,222
"1595459020","10","GET","/function/performance-scores-gdpr",2.30,0.00,1600,1700,1900,2000,2300,2300,2400,2400,2400,2400,2400,2400,138,0,1700,1823,721,3748,222
"1595459020","10","","Aggregated",2.30,0.00,1600,1700,1900,2000,2300,2300,2400,2400,2400,2400,2400,2400,138,0,1700,1823,721,3748,222
"1595459022","10","GET","/function/performance-scores-gdpr",2.10,0.00,1700,1800,1900,2000,2300,2300,2400,2400,2400,2400,2400,2400,142,0,1700,1819,721,3748,222
"1595459022","10","","Aggregated",2.10,0.00,1700,1800,1900,2000,2300,2300,2400,2400,2400,2400,2400,2400,142,0,1700,1819,721,3748,222
"1595459024","10","GET","/function/performance-scores-gdpr",2.00,0.00,1800,1900,2000,2000,2300,2300,2400,2400,2400,2400,2400,2400,144,0,1700,1820,721,3748,221
"1595459024","10","","Aggregated",2.00,0.00,1800,1900,2000,2000,2300,2300,2400,2400,2400,2400,2400,2400,144,0,1700,1820,721,3748,221
"1595459026","10","GET","/function/performance-scores-gdpr",2.10,0.00,1800,2000,2300,2300,2500,2800,3000,3000,3000,3000,3000,3000,149,0,1700,1848,721,3748,222
"1595459026","10","","Aggregated",2.10,0.00,1800,2000,2300,2300,2500,2800,3000,3000,3000,3000,3000,3000,149,0,1700,1848,721,3748,222
"1595459028","10","GET","/function/performance-scores-gdpr",2.10,0.00,1800,1800,2000,2300,2500,2800,3000,3000,3000,3000,3000,3000,154,0,1700,1827,721,3748,222
"1595459028","10","","Aggregated",2.10,0.00,1800,1800,2000,2300,2500,2800,3000,3000,3000,3000,3000,3000,154,0,1700,1827,721,3748,222
"1595459030","10","GET","/function/performance-scores-gdpr",2.10,0.00,1800,1800,2300,2500,2800,3000,3000,3000,3000,3000,3000,3000,158,0,1700,1820,721,3748,222
"1595459030","10","","Aggregated",2.10,0.00,1800,1800,2300,2500,2800,3000,3000,3000,3000,3000,3000,3000,158,0,1700,1820,721,3748,222
